,Unnamed: 0.1,Unnamed: 0,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,milliseconds_numeric
6263,6263,24320,24326,1016,1,131,44,2,1,1,1,25.0,70,1:29:07.084,5347084,62,4,1:14.813,209.851,1,5347084
6264,6264,24321,24327,1016,20,6,5,1,2,2,2,18.0,70,+3.658,5350742,57,5,1:14.875,209.677,1,5350742
6265,6265,24322,24328,1016,844,6,16,3,3,3,3,15.0,70,+4.696,5351780,63,2,1:14.356,211.140,1,5351780
6266,6266,24323,24329,1016,822,131,77,6,4,4,4,13.0,70,+51.043,5398127,69,1,1:13.078,214.833,1,5398127
6267,6267,24324,24330,1016,830,9,33,9,5,5,5,10.0,70,+57.655,5404739,67,3,1:14.767,209.980,1,5404739
6268,6268,24340,24346,1017,1,131,44,1,1,1,1,25.0,53,1:24:31.198,5071198,53,2,1:32.764,226.717,1,5071198
6269,6269,24341,24347,1017,822,131,77,2,2,2,2,18.0,53,+18.056,5089254,43,3,1:33.586,224.725,1,5089254
6270,6270,24342,24348,1017,844,6,16,3,3,3,3,15.0,53,+18.985,5090183,40,4,1:33.828,224.146,1,5090183
6271,6271,24343,24349,1017,830,9,33,4,4,4,4,12.0,53,+34.905,5106103,38,5,1:34.162,223.351,1,5106103
6272,6272,24344,24350,1017,20,6,5,7,5,5,5,11.0,53,+1:02.796,5133994,53,1,1:32.740,226.775,1,5133994
6273,6273,24345,24351,1017,832,1,55,6,6,6,6,8.0,53,+1:35.462,5166660,52,6,1:34.561,222.408,1,5166660
6274,6274,24360,24366,1018,830,9,33,2,1,1,1,26.0,71,1:22:01.822,4921822,60,1,1:07.475,230.378,1,4921822
6275,6275,24361,24367,1018,844,6,16,1,2,2,2,18.0,71,+2.724,4924546,58,3,1:07.994,228.620,1,4924546
6276,6276,24362,24368,1018,822,131,77,3,3,3,3,15.0,71,+18.960,4940782,53,7,1:08.565,226.716,1,4940782
6277,6277,24363,24369,1018,20,6,5,9,4,4,4,12.0,71,+19.610,4941432,62,2,1:07.676,229.694,1,4941432
6278,6278,24364,24370,1018,1,131,44,4,5,5,5,10.0,71,+22.805,4944627,69,5,1:08.050,228.432,1,4944627
